pair_id,clip_id_a,clip_id_b,identity_id_a,identity_id_b,label,pair_type,notes
pair_000103,person_001_cam_2_01,person_003_cam_1_04,person_001,person_003,0,negative_cross_camera,
pair_000104,person_001_cam_2_01,person_003_cam_3_01,person_001,person_003,0,negative_cross_camera,
pair_000105,person_001_cam_2_01,person_003_cam_4_01,person_001,person_003,0,negative_cross_camera,
pair_000106,person_001_cam_2_02,person_002_cam_1_01,person_001,person_002,0,negative_cross_camera,
pair_000107,person_001_cam_2_02,person_002_cam_3_01,person_001,person_002,0,negative_cross_camera,
pair_000108,person_001_cam_2_02,person_002_cam_4_01,person_001,person_002,0,negative_cross_camera,
pair_000109,person_001_cam_2_02,person_003_cam_1_01,person_001,person_003,0,negative_cross_camera,
pair_000110,person_001_cam_2_02,person_003_cam_1_02,person_001,person_003,0,negative_cross_camera,
pair_000111,person_001_cam_2_02,person_003_cam_1_03,person_001,person_003,0,negative_cross_camera,
pair_000112,person_001_cam_2_02,person_003_cam_1_04,person_001,person_003,0,negative_cross_camera,
pair_000113,person_001_cam_2_02,person_003_cam_3_01,person_001,person_003,0,negative_cross_camera,
pair_000114,person_001_cam_2_02,person_003_cam_4_01,person_001,person_003,0,negative_cross_camera,
pair_000115,person_002_cam_1_01,person_003_cam_2_01,person_002,person_003,0,negative_cross_camera,
pair_000116,person_002_cam_1_01,person_003_cam_3_01,person_002,person_003,0,negative_cross_camera,
pair_000117,person_002_cam_1_01,person_003_cam_4_01,person_002,person_003,0,negative_cross_camera,
pair_000118,person_002_cam_2_01,person_003_cam_1_01,person_002,person_003,0,negative_cross_camera,
pair_000119,person_002_cam_2_01,person_003_cam_1_02,person_002,person_003,0,negative_cross_camera,
pair_000120,person_002_cam_2_01,person_003_cam_1_03,person_002,person_003,0,negative_cross_camera,
pair_000121,person_002_cam_2_01,person_003_cam_1_04,person_002,person_003,0,negative_cross_camera,
pair_000122,person_002_cam_2_01,person_003_cam_3_01,person_002,person_003,0,negative_cross_camera,
pair_000123,person_002_cam_2_01,person_003_cam_4_01,person_002,person_003,0,negative_cross_camera,
pair_000124,person_002_cam_2_02,person_003_cam_1_01,person_002,person_003,0,negative_cross_camera,
pair_000125,person_002_cam_2_02,person_003_cam_1_02,person_002,person_003,0,negative_cross_camera,
pair_000126,person_002_cam_2_02,person_003_cam_1_03,person_002,person_003,0,negative_cross_camera,
pair_000127,person_002_cam_2_02,person_003_cam_1_04,person_002,person_003,0,negative_cross_camera,
pair_000128,person_002_cam_2_02,person_003_cam_3_01,person_002,person_003,0,negative_cross_camera,
pair_000129,person_002_cam_2_02,person_003_cam_4_01,person_002,person_003,0,negative_cross_camera,
pair_000130,person_002_cam_2_03,person_003_cam_1_01,person_002,person_003,0,negative_cross_camera,
pair_000131,person_002_cam_2_03,person_003_cam_1_02,person_002,person_003,0,negative_cross_camera,
pair_000132,person_002_cam_2_03,person_003_cam_1_03,person_002,person_003,0,negative_cross_camera,
pair_000133,person_002_cam_2_03,person_003_cam_1_04,person_002,person_003,0,negative_cross_camera,
pair_000134,person_002_cam_2_03,person_003_cam_3_01,person_002,person_003,0,negative_cross_camera,
pair_000135,person_002_cam_2_03,person_003_cam_4_01,person_002,person_003,0,negative_cross_camera,
pair_000136,person_002_cam_2_04,person_003_cam_1_01,person_002,person_003,0,negative_cross_camera,
pair_000137,person_002_cam_2_04,person_003_cam_1_02,person_002,person_003,0,negative_cross_camera,
pair_000138,person_002_cam_2_04,person_003_cam_1_03,person_002,person_003,0,negative_cross_camera,
pair_000139,person_002_cam_2_04,person_003_cam_1_04,person_002,person_003,0,negative_cross_camera,
pair_000140,person_002_cam_2_04,person_003_cam_3_01,person_002,person_003,0,negative_cross_camera,
pair_000141,person_002_cam_2_04,person_003_cam_4_01,person_002,person_003,0,negative_cross_camera,
pair_000142,person_002_cam_3_01,person_003_cam_1_01,person_002,person_003,0,negative_cross_camera,
pair_000143,person_002_cam_3_01,person_003_cam_1_02,person_002,person_003,0,negative_cross_camera,
pair_000144,person_002_cam_3_01,person_003_cam_1_03,person_002,person_003,0,negative_cross_camera,
pair_000145,person_002_cam_3_01,person_003_cam_1_04,person_002,person_003,0,negative_cross_camera,
pair_000146,person_002_cam_3_01,person_003_cam_2_01,person_002,person_003,0,negative_cross_camera,
pair_000147,person_002_cam_3_01,person_003_cam_4_01,person_002,person_003,0,negative_cross_camera,
pair_000148,person_002_cam_4_01,person_003_cam_1_01,person_002,person_003,0,negative_cross_camera,
